-539.18,-703.45
-821.83,208.98
282.52,354.39
-143.24,-274.47
-1000,562.5
-684.41,-565.84
-801.33,-261.63
675.39,-0.79
138.34,-392.04
176.96,-615.85
-213.7,-900.08
-113.32,89.63
503.42,-541.09
288.31,-943.16
-446.16,730.09
746.57,455.87
-386.7,30.92
794.17,471.79
856.94,312.12
145.25,106.39
-175.72,-255.89
-944.7,575.42
621.66,393.19
262.45,120.55
543.21,481.57
561.09,322.68
-1000,766.69
257.96,-612.62
738.31,310.82
-664.8,87.35
136.35,-318.37
695.07,650.27
830.54,-1000
557.88,91.0
119.43,-574.78
-574.17,915.67
484.54,295.32
-397.02,-485.73
206.4,-548.52
-850.03,859.51
-385.29,378.83
812.57,169.72
-172.63,-610.06
-158.77,-42.86
247.78,-717.77
-779.8,-705.88
-624.06,-428.44
668.41,766.35
122.49,701.9
-548.71,-806.42
848.83,-881.49
897.54,601.21
649.52,750.09
-542.54,-341.38
739.79,-261.42
824.51,-21.66
-558.22,-875.54
-1000,1000
267.24,-840.45
955.02,-573.14
-441.98,-675.47
448.81,1000
-789.46,-846.04
-386.6,826.68
-219.22,899.63
771.05,599.79
797.64,-718.24
-689.56,-466.86
730.53,-461.62
-896.91,-815.78
-305.19,773.04
-316.84,141.75
935.06,808.34
-295.86,105.61
-268.96,838.06
-576.01,-670.91
143.34,830.1
891.67,885.74
-648.93,802.49
621.29,995.95
-592.71,-517.55
-714.69,732.61
-287.6,-370.7
336.32,-608.2
593.31,-425.32
-307.48,937.76
252.66,975.92
-308.83,498.22
-764.16,-201.74
-48.15,-971.38
883.1,474.69
943.21,359.47
-744.83,488.98
222.42,-556.42
-324.73,372.62
-256.73,408.12
499.81,488.02
96.63,-43.96
-418.02,58.62
-513.28,380.2
